代码,名称,日期,收盘,20日均价,T涨幅%,T-1涨幅%,T日额(亿),T-1额(亿),20日均额(亿),T日倍数,T-1倍数,基准区间
000542,TCL通讯,2004-01-06,27.34,23.75,10.02,1.59,3.394,0.193,0.153,22.24,1.26,2003-11-27~2003-12-24
002453,华软科技,2026-09-18,5.34,4.5,10.1,9.98,4.616,0.786,0.392,11.78,2.01,2026-08-20~2026-09-16
601811,新华文轩,2026-09-18,13.9,11.7,9.97,4.9,4.043,2.095,0.472,8.57,4.44,2026-08-20~2026-09-16
001312,福恩股份,2026-09-18,18.62,17.51,5.56,0.34,1.387,0.314,0.257,5.4,1.22,2026-08-20~2026-09-16
002005,德豪润达,2026-09-18,2.66,2.41,9.92,-1.63,1.717,0.267,0.331,5.19,0.81,2026-08-20~2026-09-16
000504,南华生物,2026-09-18,10.01,8.38,10.0,10.04,1.893,1.137,0.433,4.37,2.62,2026-08-20~2026-09-16
603680,今创集团,2026-09-18,10.57,10.12,5.07,2.34,1.374,0.418,0.377,3.65,1.11,2026-08-20~2026-09-16
003041,真爱美家,2026-09-18,42.02,38.78,10.0,0.24,2.23,0.622,0.616,3.62,1.01,2026-08-20~2026-09-16
600790,轻纺城,2026-09-18,3.63,3.4,5.83,0.59,1.813,0.667,0.512,3.54,1.3,2026-08-20~2026-09-16
688501,青达环保,2026-09-18,15.4,13.71,5.84,1.11,1.389,0.585,0.415,3.35,1.41,2026-08-20~2026-09-16
001238,浙江正特,2026-09-18,26.31,24.62,9.99,0.84,0.425,0.108,0.13,3.27,0.83,2026-08-20~2026-09-16
